timestamp,ego_velocity_magnitude,npc1_velocity_magnitude,ego_npc_distance,ego_perception_distance,closest_perception_velocity,ego_position_x,ego_position_z,npc1_position_x,npc1_position_z,perception_object_count,ego_velocity_lateral,npc1_velocity_lateral,closest_perception_velocity_lateral
11.6999998092651,0.0,0.0,13.948800798361882,,,-436.714263916016,-19.2813816070557,-418.102844238281,-18.928539276123,0,0.0,0.0,
11.75,0.0,0.0,13.948801660594407,,,-436.714263916016,-19.2813816070557,-418.102844238281,-18.928539276123,0,0.0,0.0,
11.8000001907349,0.0,0.0,13.948801937430543,,,-436.714263916016,-19.281379699707,-418.102844238281,-18.928539276123,0,0.0,0.0,
11.8500003814697,0.0,0.0,13.948802121575069,,,-436.714263916016,-19.2813758850098,-418.102844238281,-18.928539276123,0,0.0,0.0,
11.9000005722046,0.0,0.0,13.948772908671593,,,-436.714233398438,-19.2813758850098,-418.102844238281,-18.928539276123,0,0.0,0.0,
11.9499998092651,0.0,0.0,13.948773155025966,,,-436.714233398438,-19.2813758850098,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.0,0.0,0.0,13.948773894090486,,,-436.714233398438,-19.2813758850098,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.0500001907349,0.0,0.0,13.948774047753284,,,-436.714233398438,-19.2813739776611,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.1000003814697,0.0,0.0,13.948744588504246,,,-436.714202880859,-19.2813739776611,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.1500005722046,0.0,0.0,13.948745019010763,,,-436.714202880859,-19.2813701629639,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.1999998092651,0.0,0.0,13.948745388546262,,,-436.714202880859,-19.2813701629639,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.25,0.0,0.0,13.948745911747686,,,-436.714202880859,-19.2813682556152,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.3000001907349,0.0,0.0,13.948745972722131,,,-436.714202880859,-19.281364440918,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.3500003814697,0.0,0.0,13.948746711796852,,,-436.714202880859,-19.281364440918,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.4000005722046,0.0,0.0,13.948747111823048,,,-436.714202880859,-19.2813625335693,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.4499998092651,0.0,0.0,13.948747727721168,,,-436.714202880859,-19.2813625335693,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.5,0.0,0.0,13.948748127749603,,,-436.714202880859,-19.2813606262207,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.5500001907349,0.0,0.0,13.948748743650146,,,-436.714202880859,-19.2813606262207,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.6000003814697,0.0,0.0,13.948749729093684,,,-436.714202880859,-19.2813606262207,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.6500005722046,0.0,0.0,13.948750129126063,,,-436.714202880859,-19.2813587188721,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.6999998092651,0.0,0.0,13.948750745031054,,,-436.714202880859,-19.2813587188721,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.75,0.0,0.0,13.94878091163534,,,-436.714233398438,-19.2813529968262,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.8000001907349,0.0,0.0,13.948781527541628,,,-436.714233398438,-19.2813529968262,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.8500003814697,0.0,0.0,13.948781927578297,,,-436.714233398438,-19.2813510894775,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.9000005722046,0.0,0.0,13.948782543486956,,,-436.714233398438,-19.2813510894775,-418.102844238281,-18.928539276123,0,0.0,0.0,
12.9499998092651,0.0,0.0,13.948783282579104,,,-436.714233398438,-19.2813510894775,-418.102844238281,-18.928539276123,0,0.0,0.0,
13.0,0.0,0.0,13.948783127695048,,,-436.714233398438,-19.2813453674316,-418.102844238281,-18.928539276123,0,0.0,0.0,
13.0500001907349,0.0,0.0,13.948783743606977,,,-436.714233398438,-19.2813453674316,-418.102844238281,-18.928539276123,0,0.0,0.0,
13.1000003814697,0.20047752530069748,0.0,13.949493267844094,,,-436.71484375,-19.282844543457,-418.102844238281,-18.928539276123,0,0.200452566146851,0.0,
13.1500005722046,0.4108093632184968,0.0,13.948918648432416,,,-436.71435546875,-19.2820663452148,-418.102844238281,-18.928539276123,0,0.410422891378403,0.0,
13.1999998092651,0.40471231455222856,0.0,13.947496762545864,,,-436.712951660156,-19.281888961792,-418.102844238281,-18.928539276123,0,0.403542548418045,0.0,
13.25,0.2957222588428963,0.0,13.945141218388114,,,-436.710601806641,-19.2816715240479,-418.102844238281,-18.928539276123,0,0.290595322847366,0.0,
13.3000001907349,0.16364017201046877,0.0,13.941643833115542,,,-436.707122802734,-19.2811679840088,-418.102844238281,-18.928539276123,0,0.140729248523712,0.0,
13.3500003814697,0.1181324898888319,0.0,13.936563331846253,,,-436.702087402344,-19.2802333831787,-418.102844238281,-18.928539276123,0,0.00731602311134338,0.0,
13.4000005722046,0.1759782317611303,0.0,13.929497382702491,,,-436.695098876953,-19.2788162231445,-418.102844238281,-18.928539276123,0,-0.0800176858901978,0.0,
13.4499998092651,0.23024115715500454,0.0,13.920047673768252,,,-436.685760498047,-19.2769069671631,-418.102844238281,-18.928539276123,0,-0.114747315645218,0.0,
13.5,0.26878857095943365,0.0,13.908124783033562,,,-436.673980712891,-19.2745265960693,-418.102844238281,-18.928539276123,0,-0.106625974178314,0.0,
